#! FIELDS d1 file.free der_d1
#! SET min_d1 -0.173267
#! SET max_d1 4.66311
#! SET nbins_d1  275
#! SET periodic_d1 false
   -0.173267000   89.841660471   -1.988062213
   -0.155615989   89.771554044   -6.614016668
   -0.137964978   89.560617349  -19.012415709
   -0.120313967   89.003464914  -47.680826576
   -0.102662956   87.707426228 -104.858827851
   -0.085011945   85.064606525 -201.678294382
   -0.067360934   80.344007267 -338.721026510
   -0.049709923   72.987336022 -494.702181376
   -0.032058912   63.028138756 -624.777514331
   -0.014407901   51.393869108 -676.608893658
    0.003243109   39.788229068 -619.876100270
    0.020894120   30.067084789 -469.658737280
    0.038545131   23.425976048 -282.333283420
    0.056196142   19.922339479 -123.748486350
    0.073847153   18.649000588  -32.638179275
    0.091498164   18.378229916   -6.702681278
    0.109149175   18.197869662  -16.772561845
    0.126800186   17.749052042  -33.219519901
    0.144451197   17.068658107  -42.221874278
    0.162102208   16.293854136  -44.869363651
    0.179753219   15.483467596  -46.976343182
    0.197404230   14.620276116  -51.025535616
    0.215055241   13.677151197  -56.985571472
    0.232706252   12.621482731  -63.556211436
    0.250357263   11.435165103  -71.530160469
    0.268008274   10.097951081  -80.204833737
    0.285659285    8.631508573  -85.277753341
    0.303310296    7.145645724  -81.956481609
    0.320961307    5.805079476  -68.785970532
    0.338612318    4.754849961  -50.546170718
    0.356263328    4.015880392  -34.726767845
    0.373914339    3.486483887  -27.097080742
    0.391565350    3.014307094  -27.831892185
    0.409216361    2.494716305  -31.453199740
    0.426867372    1.936478671  -31.488920302
    0.444518383    1.429890444  -25.418515531
    0.462169394    1.063015341  -16.653104604
    0.479820405    0.835844713  -10.218694004
    0.497471416    0.678070707   -9.104014089
    0.515122427    0.505344693  -11.223373232
    0.532773438    0.298223258  -12.308728149
    0.550424449    0.105218457   -9.320578487
    0.568075460    0.000000000   -2.680809298
    0.585726471    0.023360481    4.330488332
    0.603377482    0.147838597    8.848766290
    0.621028493    0.320987097    9.837322584
    0.638679504    0.496284469    8.913206599
    0.656330515    0.649067830    7.891435963
    0.673981526    0.779806361    6.223943767
    0.691632536    0.873434518    3.716840843
    0.709283547    0.923734050    1.570463172
    0.726934558    0.959810819    2.519154496
    0.744585569    1.048884063    8.015751405
    0.762236580    1.263490671   15.861324074
    0.779887591    1.613046172   22.103849738
    0.797538602    2.031035188   23.789949917
    0.815189613    2.436183510   21.090380790
    0.832840624    2.783872857   17.887959243
    0.850491635    3.096393621   17.193838105
    0.868142646    3.416871873   18.626905539
    0.885793657    3.758045474   19.270731140
    0.903444668    4.093883937   18.107350820
    0.921095679    4.415263086   17.935198345
    0.938746690    4.766464376   22.228923285
    0.956397701    5.228984025   29.767602021
    0.974048712    5.814135848   34.677695664
    0.991699723    6.420559874   32.101849399
    1.009350734    6.910417654   22.329939066
    1.027001745    7.219385070   12.726571324
    1.044652755    7.423885234   11.764726357
    1.062303766    7.703549798   20.503797908
    1.079954777    8.177249769   32.128443143
    1.097605788    8.809626701   37.370615784
    1.115256799    9.441435833   32.097270576
    1.132907810    9.920723807   21.608018328
    1.150558821   10.240131295   15.410700875
    1.168209832   10.541896766   19.771922548
    1.185860843   11.004435102   33.092224358
    1.203511854   11.714316103   45.983189632
    1.221162865   12.582912415   49.882522080
    1.238813876   13.415324776   42.067562220
    1.256464887   14.033480120   26.718759055
    1.274115898   14.373109405   11.749496072
    1.291766909   14.501277354    3.657186409
    1.309417920   14.560841711    3.914257325
    1.327068931   14.676715990    9.150564268
    1.344719942   14.885936958   13.436991552
    1.362370953   15.128770732   12.580614790
    1.380021964   15.307333878    6.380696939
    1.397672974   15.366559244    0.463936578
    1.415323985   15.371033839    1.191139191
    1.432974996   15.473843204   11.444351063
    1.450626007   15.814031620   26.576691452
    1.468277018   16.392435108   37.133517140
    1.485928029   17.057339990   35.479147830
    1.503579040   17.586130650   22.308590281
    1.521230051   17.836002786    5.822671592
    1.538881062   17.838817703   -4.055639740
    1.556532073   17.768858047   -2.586457505
    1.574183084   17.805783699    6.856289487
    1.591834095   18.012818829   15.261600297
    1.609485106   18.295338424   14.632235553
    1.627136117   18.483195023    4.867184709
    1.644787128   18.471466718   -6.238253661
    1.662438139   18.313427608  -10.613966930
    1.680089150   18.162477312   -5.437029953
    1.697740161   18.156475885    4.492353774
    1.715391172   18.314779700   11.900848433
    1.733042182   18.542386599   12.251494620
    1.750693193   18.718195475    6.358409937
    1.768344204   18.768690300   -0.818698233
    1.785995215   18.715614868   -5.245552145
    1.803646226   18.620685415   -5.054527534
    1.821297237   18.556254323   -2.323411070
    1.838948248   18.553122179    1.570359848
    1.856599259   18.628660400    6.887830470
    1.874250270   18.818209209   14.361262446
    1.891901281   19.161664360   24.213321936
    1.909552292   19.672426842   32.787204981
    1.927203303   20.284447903   34.430803873
    1.944854314   20.831234368   25.255669914
    1.962505325   21.121849310    5.998553395
    1.980156336   21.026162348  -17.564756607
    1.997807347   20.541763817  -36.357477967
    2.015458358   19.819053924  -43.696832477
    2.033109369   19.089635028  -36.973475011
    2.050760380   18.592623063  -18.213997363
    2.068411391   18.495319558    7.166876684
    2.086062401   18.846363848   31.060226336
    2.103713412   19.539528836   44.628470863
    2.121364423   20.326694201   40.974962140
    2.139015434   20.885259188   19.082159385
    2.156666445   20.948903380  -12.753132265
    2.174317456   20.468407776  -39.880594116
    2.191968467   19.662287479  -47.766799856
    2.209619478   18.932117529  -31.962024343
    2.227270489   18.636928380   -0.781688311
    2.244921500   18.908093634   29.657526044
    2.262572511   19.606249671   45.959754445
